# Anon-Sec-Net v2 Figure 5: cover overhead vs load
load_pct,cover_overhead_pct,ci95_pct,n_samples,cover_bps,real_bps
10,87.99,2.20,558,64990,8875
20,80.94,2.66,560,62327,14677
30,70.32,3.13,560,50313,21231
40,57.87,3.47,560,41916,30515
50,47.70,3.51,560,33929,37205
60,43.84,3.29,560,33792,43281
70,27.82,3.05,561,20890,54204
80,20.24,2.73,561,15223,60006
90,10.37,1.89,563,8055,69632
